session_id,date,country,source_medium,landing_page,session_value_usd
ses_000046,2024-02-04,MX,email,/collection,3.21
ses_000047,2025-05-29,AU,google/cpc,/landing-sale,4.3
ses_000048,2023-06-19,CA,tiktok/cpc,/collection,3.7
ses_000049,2025-06-16,FR,google/cpc,/collection,3.83
ses_000050,2024-10-27,DE,facebook/cpc,/collection,3.45
ses_000051,2023-09-15,US,email,/cart,0.05
ses_000052,2024-05-12,AU,tiktok/cpc,/cart,3.96
ses_000053,2023-02-26,US,affiliate,/home,1.2
ses_000054,2025-05-05,AU,google/cpc,/home,5.68
ses_000055,2024-10-24,ES,organic,/landing-sale,0.47
ses_000056,2025-04-12,GB,email,/collection,3.82
ses_000057,2023-07-12,IT,affiliate,/home,10.03
ses_000058,2024-06-03,AU,facebook/cpc,/collection,1.92
ses_000059,2023-05-24,MX,google/cpc,/cart,18.11
ses_000060,2025-10-02,FR,google/cpc,/landing-sale,6.55
ses_000061,2023-06-20,MX,organic,/home,4.27
ses_000062,2024-01-15,US,organic,/landing-sale,5.63
ses_000063,2024-12-26,MX,affiliate,/cart,1.62
ses_000064,2023-04-08,IT,tiktok/cpc,/collection,19.6
ses_000065,2025-08-21,US,google/cpc,/product,7.84
ses_000066,2025-04-11,ES,affiliate,/home,12.2
ses_000067,2025-09-28,US,google/cpc,/cart,18.73
ses_000068,2025-02-23,IT,tiktok/cpc,/product,0.49
ses_000069,2024-04-01,CA,affiliate,/landing-sale,2.78
ses_000070,2024-02-19,ES,google/cpc,/product,3.25
ses_000071,2024-02-07,US,affiliate,/home,2.44
ses_000072,2025-03-15,CA,email,/collection,2.78
ses_000073,2023-01-11,GB,google/cpc,/collection,1.55
ses_000074,2025-01-20,CA,google/cpc,/home,4.8
ses_000075,2025-09-20,DE,tiktok/cpc,/landing-sale,9.74
ses_000076,2025-03-05,DE,google/cpc,/cart,8.45
ses_000077,2023-05-15,MX,google/cpc,/landing-sale,1.25
ses_000078,2025-01-22,CA,affiliate,/landing-sale,13.88
ses_000079,2023-04-15,ES,organic,/home,0.48
ses_000080,2024-08-12,FR,google/cpc,/product,2.7
ses_000081,2025-08-06,MX,email,/home,1.46
ses_000082,2023-07-17,FR,email,/product,2.37
ses_000083,2023-04-09,CA,google/cpc,/cart,1.15
ses_000084,2025-02-14,MX,affiliate,/product,10.38
ses_000085,2023-10-10,CA,email,/product,16.47
ses_000086,2024-03-19,FR,email,/home,1.99
ses_000087,2024-03-26,DE,google/cpc,/collection,6.69
ses_000088,2025-09-17,FR,affiliate,/landing-sale,4.58
ses_000089,2023-06-04,ES,facebook/cpc,/collection,1.16
ses_000090,2023-07-31,CA,facebook/cpc,/collection,2.51
ses_000091,2024-09-02,IT,facebook/cpc,/product,11.45
ses_000092,2024-08-28,FR,organic,/landing-sale,1.51
ses_000093,2024-05-10,MX,tiktok/cpc,/product,2.19
ses_000094,2025-04-28,MX,google/cpc,/cart,0.96
ses_000095,2024-02-05,BR,tiktok/cpc,/landing-sale,7.05
ses_000096,2024-06-22,CA,affiliate,/collection,1.12
ses_000097,2024-11-04,MX,facebook/cpc,/collection,0.83
ses_000098,2025-07-20,ES,affiliate,/home,1.84
ses_000099,2025-07-20,IT,organic,/landing-sale,1.07
ses_000100,2025-10-15,MX,google/cpc,/collection,4.03
ses_000101,2025-07-02,CA,facebook/cpc,/home,1.32
ses_000102,2024-05-13,BR,email,/home,2.84
ses_000103,2024-10-20,AU,google/cpc,/home,3.03
ses_000104,2025-02-03,ES,tiktok/cpc,/cart,2.74
ses_000105,2023-12-24,CA,facebook/cpc,/collection,3.79
ses_000106,2025-09-25,IT,email,/home,5.04
ses_000107,2024-09-22,AU,email,/home,17.95
ses_000108,2024-05-07,CA,organic,/collection,3.52
ses_000109,2024-06-23,BR,organic,/collection,0.62
ses_000110,2023-10-03,DE,google/cpc,/landing-sale,3.7
ses_000111,2023-10-27,GB,email,/home,20.09
ses_000112,2025-06-16,FR,affiliate,/product,4.39
ses_000113,2023-09-14,ES,google/cpc,/product,7.44
ses_000114,2024-01-02,GB,email,/cart,5.87
ses_000115,2023-05-14,ES,email,/cart,0.91
ses_000116,2024-10-31,US,google/cpc,/collection,7.86
ses_000117,2023-07-31,ES,facebook/cpc,/collection,10.16
ses_000118,2023-11-01,US,tiktok/cpc,/cart,1.62
ses_000119,2023-09-23,DE,email,/home,0.66
ses_000120,2024-02-03,BR,affiliate,/product,1.33
ses_000121,2025-06-30,FR,organic,/landing-sale,9.53
ses_000122,2024-07-11,ES,facebook/cpc,/home,9.4
ses_000123,2025-06-29,GB,affiliate,/collection,0.27
ses_000124,2023-08-30,DE,facebook/cpc,/home,1.12
ses_000125,2024-08-01,ES,facebook/cpc,/cart,1.45
ses_000126,2025-06-20,MX,organic,/cart,12.48
ses_000127,2025-10-28,IT,affiliate,/collection,0.84
ses_000128,2024-08-21,CA,facebook/cpc,/product,11.97
ses_000129,2023-11-10,AU,organic,/cart,16.81
ses_000130,2023-05-10,CA,tiktok/cpc,/landing-sale,6.17
ses_000131,2023-03-02,FR,email,/cart,2.52
ses_000132,2024-09-08,MX,tiktok/cpc,/home,0.15
ses_000133,2024-09-08,IT,affiliate,/landing-sale,4.54
ses_000134,2023-09-01,IT,organic,/product,3.44
ses_000135,2024-05-21,DE,email,/landing-sale,5.07
ses_000136,2025-03-19,AU,tiktok/cpc,/home,3.55
ses_000137,2024-08-31,DE,affiliate,/product,6.06
ses_000138,2024-10-24,IT,organic,/home,10.42
ses_000139,2025-09-08,IT,facebook/cpc,/landing-sale,8.04
ses_000140,2023-07-23,CA,email,/product,2.27
ses_000141,2025-01-28,CA,organic,/home,0.38
ses_000142,2025-10-05,DE,email,/product,1.76
ses_000143,2024-07-06,CA,tiktok/cpc,/cart,13.81
ses_000144,2023-12-08,MX,affiliate,/cart,10.68
ses_000145,2023-06-09,AU,email,/landing-sale,8.65
ses_000146,2025-01-23,ES,google/cpc,/home,0.34
ses_000147,2024-08-16,DE,tiktok/cpc,/collection,4.01
ses_000148,2025-04-19,GB,email,/collection,1.28
ses_000149,2024-10-15,ES,email,/home,5.49
ses_000150,2024-06-26,BR,email,/home,0.33
ses_000151,2025-05-27,CA,facebook/cpc,/collection,0.47
ses_000152,2025-06-09,ES,affiliate,/cart,2.67
ses_000153,2023-06-13,IT,affiliate,/cart,0.3
ses_000154,2024-04-17,US,email,/product,4.18
ses_000155,2025-06-27,AU,facebook/cpc,/product,0.34
ses_000156,2023-04-01,ES,google/cpc,/cart,1.38
ses_000157,2024-08-26,MX,organic,/product,6.77
ses_000158,2025-01-03,US,facebook/cpc,/product,8.58
ses_000159,2023-10-31,GB,affiliate,/product,3.31
ses_000160,2025-06-26,FR,affiliate,/collection,12.42
ses_000161,2023-03-26,US,tiktok/cpc,/landing-sale,1.33
ses_000162,2025-02-18,MX,affiliate,/cart,0.84
ses_000163,2025-07-01,IT,google/cpc,/landing-sale,4.68
ses_000164,2023-10-19,DE,organic,/collection,4.8
ses_000165,2024-09-16,IT,organic,/landing-sale,3.22
ses_000166,2023-09-22,DE,email,/landing-sale,14.77
ses_000167,2024-02-13,BR,google/cpc,/cart,4.09
ses_000168,2025-08-29,MX,tiktok/cpc,/landing-sale,1.69
ses_000169,2025-07-15,FR,email,/landing-sale,1.63
ses_000170,2024-10-25,DE,facebook/cpc,/home,2.27
ses_000171,2024-05-23,BR,email,/home,4.36
ses_000172,2025-03-16,BR,email,/cart,10.12
ses_000173,2023-02-24,BR,email,/product,9.17
ses_000174,2023-01-08,DE,affiliate,/collection,3.24
ses_000175,2023-01-31,MX,facebook/cpc,/landing-sale,0.46
ses_000176,2023-02-09,GB,google/cpc,/collection,1.66
ses_000177,2023-02-20,FR,affiliate,/landing-sale,2.61
ses_000178,2023-08-16,GB,google/cpc,/cart,3.26
ses_000179,2023-07-21,IT,email,/product,1.48
ses_000180,2025-01-08,BR,affiliate,/landing-sale,0.04
ses_000181,2024-12-06,GB,facebook/cpc,/landing-sale,5.84
ses_000182,2025-07-15,CA,email,/home,1.84
ses_000183,2024-09-21,CA,email,/collection,8.06
ses_000184,2025-02-07,DE,email,/collection,4.99
ses_000185,2024-09-23,GB,organic,/landing-sale,2.42
ses_000186,2025-08-25,FR,email,/product,2.68
ses_000187,2024-09-17,US,organic,/landing-sale,10.29
ses_000188,2024-09-04,ES,email,/cart,0.09
ses_000189,2023-09-29,MX,tiktok/cpc,/cart,0.63
ses_000190,2023-03-13,CA,email,/home,3.27
ses_000191,2024-10-09,CA,organic,/cart,0.51
ses_000192,2023-09-24,FR,google/cpc,/home,11.53
ses_000193,2025-05-19,BR,affiliate,/collection,11.06
ses_000194,2025-03-03,IT,organic,/home,2.73
ses_000195,2025-02-21,FR,affiliate,/home,12.84
ses_000196,2025-03-31,BR,facebook/cpc,/cart,6.0
ses_000197,2023-02-16,FR,email,/home,0.92
ses_000198,2024-04-25,IT,facebook/cpc,/home,15.55
ses_000199,2023-08-17,FR,organic,/collection,5.33
ses_000200,2023-08-24,ES,organic,/cart,0.36
ses_000201,2025-06-13,MX,affiliate,/landing-sale,1.68
ses_000202,2025-02-11,CA,tiktok/cpc,/collection,1.13
ses_000203,2025-05-22,ES,facebook/cpc,/home,2.57
ses_000204,2024-03-16,FR,facebook/cpc,/collection,1.96
ses_000205,2024-02-19,CA,tiktok/cpc,/collection,3.3
ses_000206,2023-03-22,ES,organic,/landing-sale,2.57
ses_000207,2024-01-27,CA,facebook/cpc,/cart,20.49
ses_000208,2024-03-11,IT,facebook/cpc,/cart,3.96
ses_000209,2024-01-06,GB,organic,/product,1.04
ses_000210,2024-02-13,CA,organic,/home,0.89
ses_000211,2023-12-26,BR,email,/collection,7.01
ses_000212,2024-02-12,AU,affiliate,/cart,7.24
ses_000213,2024-11-10,CA,facebook/cpc,/collection,1.48
ses_000214,2024-11-04,IT,facebook/cpc,/collection,7.77
ses_000215,2024-05-05,CA,facebook/cpc,/cart,6.05
ses_000216,2024-06-21,FR,organic,/cart,16.13
ses_000217,2023-03-21,GB,email,/product,5.07
ses_000218,2023-09-12,IT,google/cpc,/product,3.98
ses_000219,2023-09-08,CA,email,/collection,0.01
ses_000220,2024-08-10,US,facebook/cpc,/landing-sale,1.46
ses_000221,2023-10-13,FR,affiliate,/product,0.41
ses_000222,2025-09-13,FR,affiliate,/collection,0.28
ses_000223,2025-01-30,AU,tiktok/cpc,/home,5.02
ses_000224,2024-08-19,GB,tiktok/cpc,/product,3.16
ses_000225,2024-09-21,GB,google/cpc,/collection,1.23
ses_000226,2025-06-30,AU,tiktok/cpc,/home,7.53
ses_000227,2023-11-12,GB,organic,/landing-sale,1.4
ses_000228,2025-05-25,DE,affiliate,/cart,1.18
ses_000229,2023-10-23,GB,facebook/cpc,/home,16.99
ses_000230,2023-08-01,GB,affiliate,/cart,6.16
ses_000231,2023-01-01,BR,email,/home,29.86
ses_000232,2024-10-23,US,tiktok/cpc,/landing-sale,2.2
ses_000233,2025-04-03,ES,affiliate,/landing-sale,4.06
ses_000234,2024-11-17,BR,google/cpc,/home,2.08
ses_000235,2023-07-21,GB,tiktok/cpc,/home,7.26
ses_000236,2024-10-15,AU,tiktok/cpc,/home,0.71
ses_000237,2024-09-17,CA,google/cpc,/home,3.43
ses_000238,2023-02-21,ES,email,/product,1.63
ses_000239,2023-08-05,US,email,/cart,1.45
ses_000240,2023-04-28,BR,organic,/product,4.25
ses_000241,2023-10-16,GB,affiliate,/product,5.76
ses_000242,2025-04-25,GB,organic,/landing-sale,0.11
ses_000243,2023-01-08,FR,email,/product,1.86
ses_000244,2024-03-30,FR,email,/cart,3.88
ses_000245,2023-08-17,FR,organic,/home,3.98
ses_000246,2024-11-01,BR,facebook/cpc,/collection,2.32
ses_000247,2025-10-24,GB,email,/collection,4.34
ses_000248,2024-05-01,MX,facebook/cpc,/landing-sale,10.42
ses_000249,2024-07-30,CA,affiliate,/collection,1.92
ses_000250,2024-04-27,BR,organic,/product,7.95
ses_000251,2025-05-01,MX,facebook/cpc,/collection,7.28
ses_000252,2024-04-10,BR,facebook/cpc,/cart,0.74
ses_000253,2024-06-04,MX,email,/landing-sale,14.97
ses_000254,2024-07-02,CA,email,/collection,19.28
ses_000255,2025-08-28,DE,facebook/cpc,/landing-sale,4.08
ses_000256,2024-09-10,DE,email,/product,0.97
ses_000257,2023-06-28,MX,email,/home,12.49
ses_000258,2023-12-26,BR,facebook/cpc,/home,5.4
ses_000259,2023-05-29,US,email,/cart,5.38
ses_000260,2024-11-28,FR,facebook/cpc,/landing-sale,1.88
ses_000261,2024-04-26,ES,organic,/product,5.77
ses_000262,2023-04-24,US,google/cpc,/home,3.56
ses_000263,2024-04-29,DE,google/cpc,/collection,5.41
ses_000264,2024-09-05,CA,organic,/collection,3.75
ses_000265,2024-10-03,IT,google/cpc,/cart,9.51
ses_000266,2024-01-23,US,google/cpc,/home,14.07
ses_000267,2024-02-20,CA,organic,/home,12.17
ses_000268,2023-10-20,FR,google/cpc,/landing-sale,4.29
ses_000269,2024-11-14,BR,tiktok/cpc,/landing-sale,6.93
ses_000270,2025-07-04,DE,google/cpc,/product,1.5
ses_000271,2024-11-27,ES,google/cpc,/product,9.24
ses_000272,2024-10-14,DE,facebook/cpc,/product,3.06
ses_000273,2024-04-14,FR,affiliate,/collection,2.07
ses_000274,2024-01-21,CA,organic,/home,8.36
ses_000275,2023-12-13,DE,organic,/product,6.08
ses_000276,2025-06-13,FR,organic,/landing-sale,0.61
ses_000277,2023-03-07,FR,organic,/home,2.82
ses_000278,2023-12-04,FR,organic,/home,2.67
ses_000279,2023-12-25,BR,organic,/home,0.02
ses_000280,2024-04-06,ES,facebook/cpc,/product,3.51
ses_000281,2024-03-04,BR,tiktok/cpc,/collection,2.32
ses_000282,2024-06-06,IT,email,/collection,5.24
ses_000283,2025-10-14,GB,email,/collection,3.49
ses_000284,2025-04-24,CA,email,/collection,4.72
ses_000285,2023-09-09,DE,affiliate,/collection,2.61
ses_000286,2025-05-27,MX,email,/product,0.22
ses_000287,2023-12-19,GB,facebook/cpc,/cart,4.53
ses_000288,2024-11-10,US,tiktok/cpc,/collection,4.44
ses_000289,2024-07-05,AU,facebook/cpc,/landing-sale,6.8
ses_000290,2024-05-02,GB,email,/collection,8.27
ses_000291,2023-12-07,BR,tiktok/cpc,/landing-sale,1.91
ses_000292,2025-08-12,ES,facebook/cpc,/landing-sale,1.13
ses_000293,2024-04-30,MX,email,/collection,12.9
ses_000294,2024-03-10,MX,affiliate,/cart,0.72
ses_000295,2024-01-30,ES,organic,/cart,1.76
ses_000296,2025-08-30,IT,facebook/cpc,/cart,5.18
ses_000297,2025-01-06,ES,tiktok/cpc,/home,4.81
ses_000298,2024-08-05,BR,email,/home,2.17
ses_000299,2025-04-03,CA,organic,/product,6.06
ses_000300,2025-10-09,FR,affiliate,/product,16.1
ses_000301,2023-01-30,AU,google/cpc,/cart,5.64
ses_000302,2023-02-23,AU,google/cpc,/home,2.68
ses_000303,2023-07-12,MX,email,/collection,2.86
ses_000304,2023-02-09,IT,organic,/product,0.27
ses_000305,2023-10-20,AU,organic,/collection,3.61
ses_000306,2024-06-23,GB,facebook/cpc,/product,6.72
ses_000307,2023-08-12,ES,email,/product,7.41
ses_000308,2023-12-03,US,email,/product,2.36
ses_000309,2025-01-03,FR,google/cpc,/cart,6.25
ses_000310,2023-08-24,MX,email,/product,14.79
ses_000311,2023-05-02,BR,google/cpc,/home,5.79
ses_000312,2025-08-03,CA,affiliate,/home,16.2
ses_000313,2025-02-03,ES,affiliate,/cart,2.77
ses_000314,2025-03-22,ES,facebook/cpc,/product,3.6
ses_000315,2024-06-16,GB,organic,/landing-sale,4.09
ses_000316,2024-08-21,BR,tiktok/cpc,/product,2.74
ses_000317,2023-01-21,FR,google/cpc,/product,1.23
ses_000318,2023-07-22,CA,email,/collection,3.0
ses_000319,2023-06-13,US,email,/landing-sale,4.98
ses_000320,2024-08-26,FR,organic,/product,1.48
ses_000321,2024-10-21,US,email,/home,3.4
ses_000322,2023-04-28,IT,affiliate,/product,2.1
ses_000323,2025-04-28,BR,facebook/cpc,/cart,2.8
ses_000324,2025-06-07,DE,google/cpc,/landing-sale,1.15
ses_000325,2023-05-11,DE,facebook/cpc,/landing-sale,2.38
ses_000326,2025-04-15,DE,email,/cart,14.22
ses_000327,2023-08-18,MX,organic,/landing-sale,0.71
ses_000328,2025-03-15,US,organic,/landing-sale,4.89
ses_000329,2024-04-29,MX,tiktok/cpc,/home,12.08
ses_000330,2023-06-12,CA,email,/landing-sale,7.11
ses_000331,2024-05-20,DE,email,/landing-sale,4.52
ses_000332,2025-08-17,BR,google/cpc,/product,13.62
ses_000333,2024-02-07,DE,affiliate,/cart,0.16
ses_000334,2025-09-27,MX,facebook/cpc,/cart,5.24
ses_000335,2023-03-21,US,tiktok/cpc,/cart,0.23
ses_000336,2023-03-09,CA,organic,/cart,2.65
ses_000337,2025-09-01,IT,email,/landing-sale,1.35
ses_000338,2023-06-09,BR,affiliate,/collection,12.24
ses_000339,2023-04-28,DE,facebook/cpc,/product,3.92
ses_000340,2023-06-29,ES,email,/collection,0.31
ses_000341,2024-01-26,US,facebook/cpc,/cart,4.8
ses_000342,2024-09-27,US,google/cpc,/landing-sale,2.44
ses_000343,2024-09-17,US,facebook/cpc,/home,5.34
ses_000344,2023-10-30,US,google/cpc,/cart,2.45
ses_000345,2025-02-09,US,email,/home,10.36
ses_000346,2023-02-24,GB,email,/landing-sale,2.15
ses_000347,2024-01-08,GB,google/cpc,/home,14.71
ses_000348,2023-06-02,BR,email,/landing-sale,2.26
ses_000349,2024-05-11,GB,google/cpc,/home,5.19
ses_000350,2023-01-20,IT,affiliate,/landing-sale,0.08
ses_000351,2024-09-08,ES,google/cpc,/landing-sale,6.3
ses_000352,2023-06-17,DE,email,/home,1.68
ses_000353,2023-03-01,MX,affiliate,/home,10.04
ses_000354,2024-06-20,AU,organic,/landing-sale,0.76
ses_000355,2025-01-16,DE,facebook/cpc,/product,0.68
ses_000356,2024-11-11,AU,tiktok/cpc,/product,7.88
ses_000357,2023-02-13,AU,organic,/cart,8.9
ses_000358,2023-07-12,CA,google/cpc,/cart,1.23
ses_000359,2023-02-01,DE,google/cpc,/product,3.1
ses_000360,2025-03-06,ES,affiliate,/product,0.17
ses_000361,2023-05-24,MX,google/cpc,/landing-sale,0.42
ses_000362,2024-12-11,GB,email,/cart,13.37
ses_000363,2025-02-10,BR,affiliate,/cart,0.17
ses_000364,2024-01-24,DE,email,/product,11.23
ses_000365,2023-12-28,GB,facebook/cpc,/home,1.04
ses_000366,2025-03-28,IT,facebook/cpc,/collection,0.07
ses_000367,2024-09-27,AU,tiktok/cpc,/collection,4.0
ses_000368,2025-01-25,BR,email,/collection,15.12
ses_000369,2023-11-26,FR,facebook/cpc,/cart,5.71
ses_000370,2025-02-20,US,google/cpc,/landing-sale,2.69
ses_000371,2023-03-24,FR,google/cpc,/cart,0.69
ses_000372,2023-11-15,MX,email,/cart,7.04
ses_000373,2025-09-06,ES,facebook/cpc,/product,1.6
ses_000374,2023-06-15,MX,google/cpc,/home,3.33
ses_000375,2025-02-09,DE,google/cpc,/home,3.57
ses_000376,2023-02-18,GB,email,/product,9.12
ses_000377,2024-09-22,IT,tiktok/cpc,/home,0.8
ses_000378,2023-01-06,ES,facebook/cpc,/collection,10.04
ses_000379,2025-03-02,DE,tiktok/cpc,/cart,9.21
ses_000380,2024-10-30,ES,email,/product,0.6
ses_000381,2023-06-05,AU,facebook/cpc,/home,2.9
ses_000382,2025-08-24,MX,email,/landing-sale,6.07
ses_000383,2023-04-22,GB,organic,/product,10.48
ses_000384,2024-02-29,IT,facebook/cpc,/cart,1.07
ses_000385,2023-01-01,CA,organic,/home,8.76
ses_000386,2024-05-03,IT,tiktok/cpc,/product,3.07
ses_000387,2023-06-24,GB,google/cpc,/product,9.64
ses_000388,2024-05-18,FR,affiliate,/landing-sale,4.97
ses_000389,2025-07-03,DE,affiliate,/landing-sale,3.02
ses_000390,2023-06-21,GB,tiktok/cpc,/collection,0.68
ses_000391,2025-08-01,AU,tiktok/cpc,/home,3.68
ses_000392,2023-01-04,FR,facebook/cpc,/cart,0.23
ses_000393,2023-10-19,CA,tiktok/cpc,/landing-sale,4.25
ses_000394,2023-02-14,BR,facebook/cpc,/product,0.39
ses_000395,2025-01-01,MX,google/cpc,/cart,27.02
ses_000396,2025-06-13,FR,facebook/cpc,/home,9.12
ses_000397,2025-08-20,CA,google/cpc,/product,0.07
ses_000398,2024-06-05,IT,email,/landing-sale,9.07
ses_000399,2024-02-26,FR,organic,/landing-sale,0.41
ses_000400,2024-07-01,MX,organic,/landing-sale,3.52
ses_000401,2023-09-25,CA,tiktok/cpc,/product,1.79
ses_000402,2023-01-23,AU,organic,/product,6.52
ses_000403,2023-07-08,BR,organic,/cart,5.88
ses_000404,2024-10-10,US,affiliate,/home,6.53
ses_000405,2024-05-08,GB,tiktok/cpc,/home,7.71
ses_000406,2024-11-29,GB,affiliate,/home,17.92
ses_000407,2023-01-01,AU,tiktok/cpc,/home,0.41
ses_000408,2025-07-15,AU,affiliate,/cart,11.49
ses_000409,2023-05-02,AU,organic,/product,10.95
ses_000410,2023-04-10,AU,google/cpc,/landing-sale,6.07
ses_000411,2024-12-02,DE,google/cpc,/cart,11.55
ses_000412,2025-01-06,ES,tiktok/cpc,/collection,29.57
ses_000413,2023-06-17,ES,affiliate,/home,1.09
ses_000414,2023-09-21,FR,tiktok/cpc,/cart,2.63
ses_000415,2025-03-02,BR,affiliate,/cart,1.5
ses_000416,2024-06-10,AU,tiktok/cpc,/product,0.52
ses_000417,2024-05-03,ES,tiktok/cpc,/landing-sale,1.9
ses_000418,2025-05-26,GB,email,/product,9.75
ses_000419,2023-06-13,ES,email,/collection,2.55
ses_000420,2024-10-18,ES,organic,/collection,7.44
ses_000421,2025-02-26,DE,organic,/cart,2.94
ses_000422,2023-07-08,MX,tiktok/cpc,/product,13.14
ses_000423,2023-03-16,CA,google/cpc,/landing-sale,9.56
ses_000424,2023-06-29,BR,affiliate,/product,8.04
ses_000425,2023-10-24,IT,google/cpc,/home,6.76
ses_000426,2023-06-22,AU,facebook/cpc,/home,3.57
ses_000427,2023-06-23,FR,email,/cart,5.35
ses_000428,2023-03-05,FR,affiliate,/cart,9.91
ses_000429,2025-02-11,ES,affiliate,/collection,2.03
ses_000430,2025-03-17,FR,email,/cart,0.33
ses_000431,2025-08-31,BR,tiktok/cpc,/cart,6.28
ses_000432,2025-05-08,BR,tiktok/cpc,/landing-sale,5.83
ses_000433,2025-04-14,GB,organic,/collection,5.92
ses_000434,2025-03-17,ES,organic,/home,2.76
ses_000435,2025-09-03,MX,email,/cart,0.49
ses_000436,2023-10-14,CA,affiliate,/collection,1.32
ses_000437,2025-03-15,CA,google/cpc,/collection,12.29
ses_000438,2023-07-06,IT,affiliate,/cart,3.33
ses_000439,2023-07-05,BR,tiktok/cpc,/landing-sale,8.83
ses_000440,2024-07-02,ES,google/cpc,/landing-sale,31.42
ses_000441,2025-05-12,MX,tiktok/cpc,/landing-sale,1.35
ses_000442,2023-06-17,AU,affiliate,/landing-sale,5.9
ses_000443,2025-02-17,AU,tiktok/cpc,/collection,6.25
ses_000444,2023-12-13,MX,facebook/cpc,/product,8.38
ses_000445,2023-08-26,ES,facebook/cpc,/product,5.72
ses_000446,2024-06-15,DE,organic,/collection,40.46
ses_000447,2025-10-04,CA,organic,/home,0.84
ses_000448,2024-03-20,ES,google/cpc,/home,0.84
ses_000449,2024-01-25,CA,tiktok/cpc,/home,3.57
ses_000450,2023-07-30,BR,organic,/home,1.66
ses_000451,2025-01-05,US,organic,/landing-sale,4.65
ses_000452,2023-07-24,MX,google/cpc,/home,7.23
ses_000453,2024-07-20,US,affiliate,/cart,14.47
ses_000454,2024-04-08,IT,google/cpc,/product,3.09
ses_000455,2024-05-02,BR,google/cpc,/collection,8.92
ses_000456,2024-11-20,FR,google/cpc,/home,4.86
ses_000457,2023-12-07,GB,affiliate,/collection,12.43
ses_000458,2025-09-09,CA,email,/cart,17.69
ses_000459,2023-10-16,FR,email,/product,21.28
ses_000460,2023-04-10,GB,google/cpc,/landing-sale,1.19
ses_000461,2024-04-19,US,facebook/cpc,/cart,9.06
ses_000462,2025-01-10,AU,facebook/cpc,/collection,0.93
ses_000463,2023-09-22,GB,email,/collection,1.39
ses_000464,2025-05-04,BR,email,/collection,2.68
ses_000465,2024-10-06,CA,organic,/landing-sale,1.43
ses_000466,2025-02-26,US,google/cpc,/product,3.18
ses_000467,2025-06-09,CA,facebook/cpc,/cart,1.8
ses_000468,2023-01-28,CA,tiktok/cpc,/landing-sale,3.02
ses_000469,2025-03-02,US,email,/landing-sale,1.27
ses_000470,2025-06-29,MX,organic,/product,3.43
ses_000471,2024-06-13,AU,facebook/cpc,/cart,5.46
ses_000472,2025-08-24,FR,affiliate,/cart,5.29
ses_000473,2023-08-18,IT,facebook/cpc,/product,5.57
ses_000474,2023-03-06,BR,email,/home,2.0
ses_000475,2024-11-11,GB,affiliate,/product,24.44
